"CO2 emissions by fuel in Australia",Value,Year,Units
"Coal",190.102,2000, MtCO2
"Coal",195.207,2001, MtCO2
"Coal",196.752,2002, MtCO2
"Coal",195.655,2003, MtCO2
"Coal",204.346,2004, MtCO2
"Coal",206.882,2005, MtCO2
"Coal",210.169,2006, MtCO2
"Coal",211.755,2007, MtCO2
"Coal",209.315,2008, MtCO2
"Coal",215.169,2009, MtCO2
"Coal",210.517,2010, MtCO2
"Coal",201.643,2011, MtCO2
"Coal",197.428,2012, MtCO2
"Coal",184.343,2013, MtCO2
"Coal",175.291,2014, MtCO2
"Coal",181.309,2015, MtCO2
"Coal",187.447,2016, MtCO2
"Coal",184.251,2017, MtCO2
"Coal",176.175,2018, MtCO2
"Coal",171.85,2019, MtCO2
"Coal",162.658,2020, MtCO2
"Coal",158.29,2021, MtCO2
"Coal",151.291,2022, MtCO2
"Coal",145.37,2023, MtCO2
"Oil",99.857,2000, MtCO2
"Oil",98.896,2001, MtCO2
"Oil",100.508,2002, MtCO2
"Oil",105.511,2003, MtCO2
"Oil",108.683,2004, MtCO2
"Oil",109.121,2005, MtCO2
"Oil",110.284,2006, MtCO2
"Oil",111.868,2007, MtCO2
"Oil",115.786,2008, MtCO2
"Oil",114.305,2009, MtCO2
"Oil",119.908,2010, MtCO2
"Oil",126.002,2011, MtCO2
"Oil",127.806,2012, MtCO2
"Oil",133.396,2013, MtCO2
"Oil",131.826,2014, MtCO2
"Oil",129.634,2015, MtCO2
"Oil",129.945,2016, MtCO2
"Oil",132.371,2017, MtCO2
"Oil",135.995,2018, MtCO2
"Oil",135.758,2019, MtCO2
"Oil",127.979,2020, MtCO2
"Oil",127.499,2021, MtCO2
"Oil",128.361,2022, MtCO2
"Oil",136.644,2023, MtCO2
"Natural gas",43.611,2000, MtCO2
"Natural gas",46.034,2001, MtCO2
"Natural gas",50.669,2002, MtCO2
"Natural gas",46.33,2003, MtCO2
"Natural gas",47.812,2004, MtCO2
"Natural gas",47.691,2005, MtCO2
"Natural gas",48.495,2006, MtCO2
"Natural gas",55.552,2007, MtCO2
"Natural gas",57.343,2008, MtCO2
"Natural gas",59.593,2009, MtCO2
"Natural gas",60.899,2010, MtCO2
"Natural gas",61.775,2011, MtCO2
"Natural gas",64.797,2012, MtCO2
"Natural gas",65.379,2013, MtCO2
"Natural gas",66.496,2014, MtCO2
"Natural gas",67.152,2015, MtCO2
"Natural gas",68.188,2016, MtCO2
"Natural gas",70.516,2017, MtCO2
"Natural gas",73.241,2018, MtCO2
"Natural gas",75.054,2019, MtCO2
"Natural gas",77.982,2020, MtCO2
"Natural gas",74.595,2021, MtCO2
"Natural gas",74.698,2022, MtCO2
"Natural gas",72.92,2023, MtCO2
"Other",1.071,2000, MtCO2
"Other",0.84,2001, MtCO2
"Other",0.883,2002, MtCO2
"Other",0.886,2003, MtCO2
"Other",0.924,2004, MtCO2
"Other",0.611,2005, MtCO2
"Other",0.621,2006, MtCO2
"Other",0.605,2007, MtCO2
"Other",0.619,2008, MtCO2
"Other",0.54,2009, MtCO2
"Other",0.596,2010, MtCO2
"Other",0.611,2011, MtCO2
"Other",0.647,2012, MtCO2
"Other",0.659,2013, MtCO2
"Other",0.597,2014, MtCO2
"Other",0.557,2015, MtCO2
"Other",0.559,2016, MtCO2
"Other",0.539,2017, MtCO2
"Other",0.541,2018, MtCO2
"Other",0.516,2019, MtCO2
"Other",0.526,2020, MtCO2
"Other",0.539,2021, MtCO2
"Other",0.517,2022, MtCO2
"Other",0.479,2023, MtCO2