"CO2 emissions by sector in Australia",Value,Year,Units
"Electricity and heat producers",178.866,2000, MtCO2
"Electricity and heat producers",186.617,2001, MtCO2
"Electricity and heat producers",202.977,2002, MtCO2
"Electricity and heat producers",187.668,2003, MtCO2
"Electricity and heat producers",196.9,2004, MtCO2
"Electricity and heat producers",200.422,2005, MtCO2
"Electricity and heat producers",203.94,2006, MtCO2
"Electricity and heat producers",210.315,2007, MtCO2
"Electricity and heat producers",210.321,2008, MtCO2
"Electricity and heat producers",220.816,2009, MtCO2
"Electricity and heat producers",219.233,2010, MtCO2
"Electricity and heat producers",210.963,2011, MtCO2
"Electricity and heat producers",210.647,2012, MtCO2
"Electricity and heat producers",199.787,2013, MtCO2
"Electricity and heat producers",190.289,2014, MtCO2
"Electricity and heat producers",198.792,2015, MtCO2
"Electricity and heat producers",203.056,2016, MtCO2
"Electricity and heat producers",198.888,2017, MtCO2
"Electricity and heat producers",191.274,2018, MtCO2
"Electricity and heat producers",186.956,2019, MtCO2
"Electricity and heat producers",179.502,2020, MtCO2
"Electricity and heat producers",171.805,2021, MtCO2
"Electricity and heat producers",164.455,2022, MtCO2
"Electricity and heat producers",159.592,2023, MtCO2
"Transport Sector",75.014,2000, MtCO2
"Transport Sector",74.417,2001, MtCO2
"Transport Sector",76.132,2002, MtCO2
"Transport Sector",76.408,2003, MtCO2
"Transport Sector",79.182,2004, MtCO2
"Transport Sector",79.333,2005, MtCO2
"Transport Sector",81.251,2006, MtCO2
"Transport Sector",83.578,2007, MtCO2
"Transport Sector",85.298,2008, MtCO2
"Transport Sector",84.939,2009, MtCO2
"Transport Sector",87.634,2010, MtCO2
"Transport Sector",89.772,2011, MtCO2
"Transport Sector",90.432,2012, MtCO2
"Transport Sector",91.833,2013, MtCO2
"Transport Sector",92.025,2014, MtCO2
"Transport Sector",91.922,2015, MtCO2
"Transport Sector",93.276,2016, MtCO2
"Transport Sector",94.863,2017, MtCO2
"Transport Sector",97.271,2018, MtCO2
"Transport Sector",97.04,2019, MtCO2
"Transport Sector",90.504,2020, MtCO2
"Transport Sector",87.528,2021, MtCO2
"Transport Sector",89.189,2022, MtCO2
"Transport Sector",96.688,2023, MtCO2
"Industry Sector",47.985,2000, MtCO2
"Industry Sector",47.262,2001, MtCO2
"Industry Sector",37.912,2002, MtCO2
"Industry Sector",44.262,2003, MtCO2
"Industry Sector",45.275,2004, MtCO2
"Industry Sector",43.796,2005, MtCO2
"Industry Sector",42.656,2006, MtCO2
"Industry Sector",43.286,2007, MtCO2
"Industry Sector",44.79,2008, MtCO2
"Industry Sector",41.176,2009, MtCO2
"Industry Sector",36.969,2010, MtCO2
"Industry Sector",39.525,2011, MtCO2
"Industry Sector",40.999,2012, MtCO2
"Industry Sector",41.01,2013, MtCO2
"Industry Sector",41.013,2014, MtCO2
"Industry Sector",37.689,2015, MtCO2
"Industry Sector",38.216,2016, MtCO2
"Industry Sector",37.964,2017, MtCO2
"Industry Sector",39.717,2018, MtCO2
"Industry Sector",39.597,2019, MtCO2
"Industry Sector",39.186,2020, MtCO2
"Industry Sector",40.385,2021, MtCO2
"Industry Sector",40.2,2022, MtCO2
"Industry Sector",39.852,2023, MtCO2
"Residential",6.989,2000, MtCO2
"Residential",7.122,2001, MtCO2
"Residential",7.289,2002, MtCO2
"Residential",7.35,2003, MtCO2
"Residential",7.26,2004, MtCO2
"Residential",7.318,2005, MtCO2
"Residential",7.423,2006, MtCO2
"Residential",7.668,2007, MtCO2
"Residential",7.699,2008, MtCO2
"Residential",8.143,2009, MtCO2
"Residential",8.262,2010, MtCO2
"Residential",8.503,2011, MtCO2
"Residential",8.62,2012, MtCO2
"Residential",8.843,2013, MtCO2
"Residential",9.033,2014, MtCO2
"Residential",9.179,2015, MtCO2
"Residential",8.906,2016, MtCO2
"Residential",9.055,2017, MtCO2
"Residential",8.867,2018, MtCO2
"Residential",8.946,2019, MtCO2
"Residential",9.372,2020, MtCO2
"Residential",9.327,2021, MtCO2
"Residential",8.933,2022, MtCO2
"Residential",8.137,2023, MtCO2
"Commercial and Public Services",3.579,2000, MtCO2
"Commercial and Public Services",3.717,2001, MtCO2
"Commercial and Public Services",3.853,2002, MtCO2
"Commercial and Public Services",3.955,2003, MtCO2
"Commercial and Public Services",3.984,2004, MtCO2
"Commercial and Public Services",4.039,2005, MtCO2
"Commercial and Public Services",4.136,2006, MtCO2
"Commercial and Public Services",4.153,2007, MtCO2
"Commercial and Public Services",4.217,2008, MtCO2
"Commercial and Public Services",4.388,2009, MtCO2
"Commercial and Public Services",4.416,2010, MtCO2
"Commercial and Public Services",4.64,2011, MtCO2
"Commercial and Public Services",4.779,2012, MtCO2
"Commercial and Public Services",4.835,2013, MtCO2
"Commercial and Public Services",5.134,2014, MtCO2
"Commercial and Public Services",5.256,2015, MtCO2
"Commercial and Public Services",4.45,2016, MtCO2
"Commercial and Public Services",4.567,2017, MtCO2
"Commercial and Public Services",4.603,2018, MtCO2
"Commercial and Public Services",4.355,2019, MtCO2
"Commercial and Public Services",4.269,2020, MtCO2
"Commercial and Public Services",4.354,2021, MtCO2
"Commercial and Public Services",4.57,2022, MtCO2
"Commercial and Public Services",4.814,2023, MtCO2
"Agriculture/Forestry",4.202,2000, MtCO2
"Agriculture/Forestry",4.218,2001, MtCO2
"Agriculture/Forestry",5.043,2002, MtCO2
"Agriculture/Forestry",6.144,2003, MtCO2
"Agriculture/Forestry",6.153,2004, MtCO2
"Agriculture/Forestry",6.49,2005, MtCO2
"Agriculture/Forestry",6.022,2006, MtCO2
"Agriculture/Forestry",5.931,2007, MtCO2
"Agriculture/Forestry",6,2008, MtCO2
"Agriculture/Forestry",5.979,2009, MtCO2
"Agriculture/Forestry",6.129,2010, MtCO2
"Agriculture/Forestry",6.067,2011, MtCO2
"Agriculture/Forestry",6.175,2012, MtCO2
"Agriculture/Forestry",6.271,2013, MtCO2
"Agriculture/Forestry",6.227,2014, MtCO2
"Agriculture/Forestry",6.59,2015, MtCO2
"Agriculture/Forestry",6.982,2016, MtCO2
"Agriculture/Forestry",7.498,2017, MtCO2
"Agriculture/Forestry",7.551,2018, MtCO2
"Agriculture/Forestry",6.24,2019, MtCO2
"Agriculture/Forestry",5.53,2020, MtCO2
"Agriculture/Forestry",7.634,2021, MtCO2
"Agriculture/Forestry",7.151,2022, MtCO2
"Agriculture/Forestry",6.742,2023, MtCO2
"Fishing",0,2000, MtCO2
"Fishing",0,2001, MtCO2
"Fishing",0,2002, MtCO2
"Fishing",0,2003, MtCO2
"Fishing",0,2004, MtCO2
"Fishing",0,2005, MtCO2
"Fishing",0,2006, MtCO2
"Fishing",0,2007, MtCO2
"Fishing",0,2008, MtCO2
"Fishing",0,2009, MtCO2
"Fishing",0,2010, MtCO2
"Fishing",0,2011, MtCO2
"Fishing",0,2012, MtCO2
"Fishing",0,2013, MtCO2
"Fishing",0,2014, MtCO2
"Fishing",0,2015, MtCO2
"Fishing",0,2016, MtCO2
"Fishing",0,2017, MtCO2
"Fishing",0,2018, MtCO2
"Fishing",0,2019, MtCO2
"Fishing",0,2020, MtCO2
"Fishing",0,2021, MtCO2
"Fishing",0,2022, MtCO2
"Fishing",0,2023, MtCO2
"Non-specified (Other)",0,2000, MtCO2
"Non-specified (Other)",0,2001, MtCO2
"Non-specified (Other)",0,2002, MtCO2
"Non-specified (Other)",0,2003, MtCO2
"Non-specified (Other)",0,2004, MtCO2
"Non-specified (Other)",0,2005, MtCO2
"Non-specified (Other)",0,2006, MtCO2
"Non-specified (Other)",0,2007, MtCO2
"Non-specified (Other)",0.003,2008, MtCO2
"Non-specified (Other)",0,2009, MtCO2
"Non-specified (Other)",0,2010, MtCO2
"Non-specified (Other)",0,2011, MtCO2
"Non-specified (Other)",0,2012, MtCO2
"Non-specified (Other)",0,2013, MtCO2
"Non-specified (Other)",0,2014, MtCO2
"Non-specified (Other)",0,2015, MtCO2
"Non-specified (Other)",0.07,2016, MtCO2
"Non-specified (Other)",0.073,2017, MtCO2
"Non-specified (Other)",0.102,2018, MtCO2
"Non-specified (Other)",0.094,2019, MtCO2
"Non-specified (Other)",0.099,2020, MtCO2
"Non-specified (Other)",0.092,2021, MtCO2
"Non-specified (Other)",0.093,2022, MtCO2
"Non-specified (Other)",0.098,2023, MtCO2
"Other energy industries",18.005,2000, MtCO2
"Other energy industries",17.624,2001, MtCO2
"Other energy industries",15.604,2002, MtCO2
"Other energy industries",22.594,2003, MtCO2
"Other energy industries",23.009,2004, MtCO2
"Other energy industries",22.905,2005, MtCO2
"Other energy industries",24.14,2006, MtCO2
"Other energy industries",24.849,2007, MtCO2
"Other energy industries",24.732,2008, MtCO2
"Other energy industries",24.164,2009, MtCO2
"Other energy industries",29.276,2010, MtCO2
"Other energy industries",30.56,2011, MtCO2
"Other energy industries",29.025,2012, MtCO2
"Other energy industries",31.197,2013, MtCO2
"Other energy industries",30.487,2014, MtCO2
"Other energy industries",29.223,2015, MtCO2
"Other energy industries",31.184,2016, MtCO2
"Other energy industries",34.768,2017, MtCO2
"Other energy industries",36.565,2018, MtCO2
"Other energy industries",39.946,2019, MtCO2
"Other energy industries",40.681,2020, MtCO2
"Other energy industries",39.796,2021, MtCO2
"Other energy industries",40.273,2022, MtCO2
"Other energy industries",39.489,2023, MtCO2