Year,"CO2 emissions per capita, Australia",Units
2000,17.585955,tCO2 per capita
2001,17.690257,tCO2 per capita
2002,17.892464,tCO2 per capita
2003,17.665647,tCO2 per capita
2004,18.149135,tCO2 per capita
2005,18.055543,tCO2 per capita
2006,18.07103,tCO2 per capita
2007,18.234201,tCO2 per capita
2008,18.027448,tCO2 per capita
2009,17.960951,tCO2 per capita
2010,17.788777,tCO2 per capita
2011,17.458976,tCO2 per capita
2012,17.185603,tCO2 per capita
2013,16.593707,tCO2 per capita
2014,15.940214,tCO2 per capita
2015,15.899156,tCO2 per capita
2016,15.962229,tCO2 per capita
2017,15.763776,tCO2 per capita
2018,15.461048,tCO2 per capita
2019,15.124517,tCO2 per capita
2020,14.392271,tCO2 per capita
2021,14.05199,tCO2 per capita
2022,13.641457,tCO2 per capita
2023,13.33491,tCO2 per capita